epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.9711,1.70494,3.53552,1.09706,0.07362,0.75562,0.10412,0.0695,1.05028,3.44152,0.90463,8e-05,8e-05,8e-05
2,47.419,1.17171,2.93526,0.93072,0.09067,0.9306,0.23379,0.14143,1.29688,3.1486,0.90448,0.000176436,0.000176436,0.000176436
3,71.5773,1.16301,1.76119,0.87301,0.09067,0.9306,0.83661,0.50088,1.25129,2.83855,0.8914,0.000268912,0.000268912,0.000268912
4,95.3391,1.13534,1.00478,0.87344,0.96564,0.90645,0.92714,0.58896,1.17442,2.42349,0.88066,0.000357428,0.000357428,0.000357428
5,118.544,1.06867,0.843,0.87119,0.99622,0.77227,0.92431,0.65411,1.10237,2.01318,0.87678,0.000441984,0.000441984,0.000441984
6,142.797,1.02737,0.78227,0.86055,0.98349,0.81538,0.92067,0.64977,1.09284,1.75543,0.88195,0.00052258,0.00052258,0.00052258
7,167.252,1.00391,0.72819,0.87317,0.98788,0.86217,0.91005,0.67175,1.12967,1.46956,0.89548,0.000599216,0.000599216,0.000599216
8,190.499,1.02863,0.70749,0.87574,0.98562,0.87115,0.90756,0.69696,1.02178,1.35828,0.87936,0.000671892,0.000671892,0.000671892
9,213.22,0.92859,0.66238,0.8515,0.99206,0.85492,0.90024,0.70893,0.99043,1.22476,0.87209,0.000740608,0.000740608,0.000740608
10,236.726,0.94377,0.64814,0.85293,0.98304,0.84983,0.89794,0.69284,1.03829,1.17345,0.87928,0.000805364,0.000805364,0.000805364
11,260.882,0.9314,0.63588,0.86394,0.99005,0.84457,0.89896,0.68948,1.00983,1.16944,0.87562,0.00086616,0.00086616,0.00086616
12,284.062,0.94512,0.64905,0.86071,0.97815,0.86804,0.91318,0.71462,0.99293,1.08884,0.87077,0.000922996,0.000922996,0.000922996
13,308.376,0.91549,0.60967,0.86127,0.97906,0.86835,0.91289,0.69222,1.02863,1.03278,0.88378,0.000975872,0.000975872,0.000975872
14,331.75,0.8867,0.59089,0.85738,0.9808,0.89871,0.93386,0.7142,0.99758,0.83222,0.87632,0.00102479,0.00102479,0.00102479
15,356.209,0.87918,0.58857,0.85507,0.98421,0.91007,0.93303,0.71902,1.02243,0.68504,0.88464,0.00106974,0.00106974,0.00106974
16,379.615,0.84362,0.57788,0.85329,0.98586,0.91202,0.93631,0.73,0.9992,0.61963,0.88331,0.00111074,0.00111074,0.00111074
17,403.387,0.82864,0.55388,0.8438,0.98828,0.90694,0.92674,0.73063,1.01285,0.61175,0.88599,0.00114778,0.00114778,0.00114778
18,427.225,0.81916,0.5411,0.84293,0.98782,0.90811,0.92765,0.74079,0.97105,0.60928,0.87282,0.00118085,0.00118085,0.00118085
19,451.155,0.82105,0.53919,0.84592,0.98597,0.91007,0.93029,0.74234,0.9642,0.61862,0.8655,0.00120997,0.00120997,0.00120997
20,475.291,0.80077,0.52488,0.83999,0.98514,0.9073,0.92853,0.7229,0.97926,0.68593,0.8642,0.00123512,0.00123512,0.00123512
21,498.625,0.77813,0.52088,0.84452,0.98724,0.90789,0.92538,0.72872,0.94641,0.7006,0.86352,0.001208,0.001208,0.001208
22,521.901,0.77721,0.50962,0.84594,0.98618,0.90648,0.92536,0.72176,0.99021,0.72556,0.87383,0.0011684,0.0011684,0.0011684
23,545.508,0.77344,0.50351,0.84227,0.98874,0.90909,0.92787,0.73818,0.95105,0.74834,0.86121,0.0011288,0.0011288,0.0011288
24,568.813,0.78681,0.50065,0.8426,0.98975,0.91007,0.92912,0.74092,0.95868,0.76119,0.86155,0.0010892,0.0010892,0.0010892
25,591.83,0.78814,0.50374,0.84836,0.98995,0.91007,0.92733,0.74522,0.96542,0.72939,0.86171,0.0010496,0.0010496,0.0010496
26,615.325,0.7403,0.48921,0.83929,0.98873,0.91007,0.9283,0.75966,0.90509,0.67539,0.8534,0.00101,0.00101,0.00101
27,638.172,0.74619,0.48586,0.83917,0.98909,0.90909,0.92837,0.7557,0.91453,0.6316,0.85728,0.0009704,0.0009704,0.0009704
28,662.515,0.75972,0.48438,0.83229,0.99037,0.90909,0.92662,0.75815,0.91283,0.57384,0.86403,0.0009308,0.0009308,0.0009308
29,685.751,0.75836,0.50073,0.84013,0.98999,0.91007,0.93127,0.76022,0.89295,0.55579,0.85691,0.0008912,0.0008912,0.0008912
30,708.962,0.73934,0.46003,0.82969,0.99003,0.91105,0.93229,0.76262,0.88488,0.55265,0.85398,0.0008516,0.0008516,0.0008516
31,732.215,0.75435,0.4968,0.83025,0.98833,0.91029,0.93357,0.75729,0.91935,0.54407,0.85963,0.000812,0.000812,0.000812
32,755.183,0.71513,0.45385,0.82874,0.98832,0.91004,0.93485,0.77152,0.88568,0.5171,0.8489,0.0007724,0.0007724,0.0007724
33,778.655,0.71582,0.44998,0.83169,0.99026,0.90909,0.93494,0.7773,0.8732,0.5094,0.84837,0.0007328,0.0007328,0.0007328
34,802.041,0.74078,0.47234,0.83177,0.98937,0.91001,0.93588,0.76277,0.91912,0.51101,0.85989,0.0006932,0.0006932,0.0006932
35,825.033,0.74472,0.46632,0.8308,0.98937,0.91006,0.93524,0.76186,0.91461,0.50051,0.85825,0.0006536,0.0006536,0.0006536
36,847.836,0.72527,0.45467,0.82824,0.98938,0.91046,0.93365,0.77462,0.88412,0.479,0.85314,0.000614,0.000614,0.000614
37,870.895,0.69855,0.44554,0.82697,0.98825,0.91105,0.93298,0.77591,0.87602,0.47134,0.85323,0.0005744,0.0005744,0.0005744
38,894.366,0.68194,0.42945,0.8229,0.98789,0.91105,0.93455,0.78144,0.86277,0.47076,0.84821,0.0005348,0.0005348,0.0005348
39,918.032,0.70587,0.44127,0.82779,0.98834,0.91174,0.93362,0.77433,0.88599,0.47416,0.85309,0.0004952,0.0004952,0.0004952
40,941.075,0.6759,0.42642,0.83148,0.9868,0.91202,0.93626,0.77731,0.90152,0.48206,0.85259,0.0004556,0.0004556,0.0004556
41,962.211,0.65654,0.53346,0.82768,0.98805,0.91007,0.93317,0.7744,0.91001,0.48993,0.85429,0.000416,0.000416,0.000416
42,983.008,0.67057,0.49895,0.83081,0.98738,0.90909,0.93182,0.77972,0.90044,0.50492,0.85373,0.0003764,0.0003764,0.0003764
43,1004.35,0.67801,0.4724,0.83272,0.98714,0.90909,0.93066,0.77889,0.88579,0.52579,0.85169,0.0003368,0.0003368,0.0003368
44,1025.2,0.67316,0.4683,0.83703,0.9883,0.90808,0.92493,0.77688,0.89093,0.58957,0.85329,0.0002972,0.0002972,0.0002972
45,1046.03,0.66392,0.46782,0.82345,0.98838,0.90811,0.92319,0.76824,0.89276,0.61954,0.85224,0.0002576,0.0002576,0.0002576
46,1066.84,0.64607,0.45956,0.82843,0.98936,0.90929,0.92223,0.77068,0.8741,0.62361,0.8464,0.000218,0.000218,0.000218
47,1087.84,0.65693,0.46087,0.83221,0.98928,0.91105,0.92196,0.77606,0.85069,0.60555,0.84004,0.0001784,0.0001784,0.0001784
48,1108.9,0.62724,0.44616,0.82201,0.98938,0.9109,0.92301,0.77588,0.86491,0.53722,0.8457,0.0001388,0.0001388,0.0001388
49,1129.94,0.62672,0.43325,0.81786,0.98938,0.91082,0.92387,0.77852,0.86794,0.50916,0.84821,9.92e-05,9.92e-05,9.92e-05
50,1151.3,0.62592,0.43252,0.82222,0.98938,0.91094,0.92433,0.78105,0.86624,0.49297,0.84885,5.96e-05,5.96e-05,5.96e-05
