epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.2107,1.72596,3.56235,1.10951,0.00667,0.75,0.0142,0.00952,0.87729,3.7448,0.76354,6e-05,6e-05,6e-05
2,31.4263,1.15761,3.14931,0.92989,0.00889,1,0.04575,0.03239,1.06867,3.53904,0.77163,0.000138614,0.000138614,0.000138614
3,47.2611,1.09185,2.35069,0.87254,0.00889,1,0.27304,0.0904,0.96019,3.29815,0.75538,0.000215644,0.000215644,0.000215644
4,62.127,0.95149,1.24791,0.84586,0.00889,1,0.995,0.76132,0.82931,2.94542,0.72358,0.00029109,0.00029109,0.00029109
5,77.1748,0.93669,0.86383,0.84233,1,0.71861,0.995,0.76067,0.78601,2.67691,0.73348,0.000364952,0.000364952,0.000364952
6,91.9323,0.84519,0.73973,0.83541,1,0.60234,0.995,0.74506,0.81616,2.38439,0.7184,0.00043723,0.00043723,0.00043723
7,106.94,0.82894,0.70044,0.83135,1,0.93924,0.995,0.75661,0.72094,2.06259,0.70715,0.000507924,0.000507924,0.000507924
8,122.098,0.84873,0.66787,0.83989,1,0.98497,0.995,0.80763,0.68481,1.90029,0.70609,0.000577034,0.000577034,0.000577034
9,137.426,0.76732,0.63039,0.84393,1,0.778,0.995,0.77228,0.72091,1.90605,0.73348,0.00064456,0.00064456,0.00064456
10,152.31,0.78474,0.60433,0.84238,1,0.73407,0.995,0.80729,0.86872,1.97568,0.73965,0.000710502,0.000710502,0.000710502
11,167.468,0.81952,0.60543,0.836,1,0.8751,0.995,0.76884,0.82218,1.72462,0.74488,0.00077486,0.00077486,0.00077486
12,182.893,0.79049,0.59499,0.84414,1,0.96711,0.995,0.79622,0.83894,1.3274,0.74113,0.000837634,0.000837634,0.000837634
13,197.996,0.77394,0.58916,0.82604,1,0.97962,0.995,0.79478,0.81284,1.13867,0.71118,0.000898824,0.000898824,0.000898824
14,213.18,0.78881,0.57191,0.83618,0.97488,1,0.995,0.74479,0.86207,1.12375,0.74328,0.00095843,0.00095843,0.00095843
15,229.157,0.78579,0.599,0.82923,0.97012,1,0.995,0.80477,0.81099,1.01483,0.72284,0.00101645,0.00101645,0.00101645
16,245.372,0.77372,0.56132,0.83915,0.98712,1,0.995,0.79898,0.78057,0.89926,0.71473,0.00107289,0.00107289,0.00107289
17,262.018,0.76848,0.54289,0.82648,0.9903,1,0.995,0.77779,0.90503,0.81698,0.74625,0.00112774,0.00112774,0.00112774
18,278.272,0.75868,0.56196,0.82376,0.99112,1,0.995,0.82243,0.79083,0.73837,0.71437,0.00118101,0.00118101,0.00118101
19,294.703,0.72018,0.53752,0.82211,0.99075,1,0.995,0.79877,0.81559,0.75425,0.73739,0.0012327,0.0012327,0.0012327
20,311.432,0.71124,0.51554,0.81871,0.99048,1,0.995,0.79779,0.77738,0.75057,0.74085,0.0012828,0.0012828,0.0012828
21,328.067,0.70955,0.564,0.83224,0.99083,1,0.995,0.76804,0.80847,0.80774,0.73458,0.00133132,0.00133132,0.00133132
22,344.399,0.66486,0.50532,0.82573,0.9921,1,0.995,0.70519,0.88361,0.83678,0.75901,0.00137825,0.00137825,0.00137825
23,360.751,0.76992,0.53548,0.82214,0.99098,1,0.995,0.80198,0.89866,0.90089,0.78905,0.0014236,0.0014236,0.0014236
24,376.767,0.76634,0.53498,0.83135,0.99507,1,0.995,0.77783,0.87976,1.00603,0.77725,0.00146737,0.00146737,0.00146737
25,391.929,0.69511,0.51115,0.82453,1,0.99328,0.995,0.74657,1.02493,1.08737,0.81902,0.00150955,0.00150955,0.00150955
26,407.296,0.72636,0.50269,0.81988,1,0.9957,0.995,0.74245,0.97985,1.01384,0.83816,0.001505,0.001505,0.001505
27,423.304,0.67539,0.49839,0.8191,0.98945,1,0.995,0.73383,0.86516,0.84966,0.77981,0.0014852,0.0014852,0.0014852
28,440.095,0.71292,0.50229,0.82129,0.99181,1,0.995,0.77342,0.84119,0.76409,0.76246,0.0014654,0.0014654,0.0014654
29,456.18,0.67843,0.49959,0.8291,0.99269,1,0.995,0.77572,0.86676,0.76371,0.76049,0.0014456,0.0014456,0.0014456
30,471.35,0.70878,0.49649,0.82304,0.9915,1,0.995,0.76165,0.88543,0.77896,0.74708,0.0014258,0.0014258,0.0014258
31,486.83,0.66535,0.48393,0.81975,0.99151,1,0.995,0.75452,0.84781,0.7764,0.73084,0.001406,0.001406,0.001406
32,502.42,0.66389,0.45923,0.81959,0.99082,1,0.995,0.76126,0.87678,0.80068,0.75327,0.0013862,0.0013862,0.0013862
33,518.911,0.68849,0.46103,0.81848,0.99127,1,0.995,0.7174,0.94713,0.81512,0.78744,0.0013664,0.0013664,0.0013664
34,535.078,0.65667,0.45497,0.81662,0.99175,1,0.995,0.79686,0.88195,0.81134,0.75478,0.0013466,0.0013466,0.0013466
35,551.281,0.64635,0.46915,0.81507,0.9908,1,0.995,0.82813,0.82599,0.79257,0.72875,0.0013268,0.0013268,0.0013268
36,566.894,0.63785,0.45108,0.81801,0.99113,1,0.995,0.83074,0.81375,0.80873,0.73927,0.001307,0.001307,0.001307
37,583.688,0.63033,0.44116,0.81463,0.99095,1,0.995,0.79603,0.84746,0.78807,0.73737,0.0012872,0.0012872,0.0012872
38,599.837,0.60558,0.45283,0.81429,0.99056,1,0.995,0.82352,0.78484,0.75941,0.71373,0.0012674,0.0012674,0.0012674
39,615.574,0.65437,0.44885,0.81165,0.99105,1,0.995,0.82339,0.79282,0.74966,0.71246,0.0012476,0.0012476,0.0012476
40,631.026,0.6188,0.43261,0.81171,0.99176,1,0.995,0.78274,0.85159,0.7118,0.72278,0.0012278,0.0012278,0.0012278
41,646.832,0.63748,0.43303,0.8205,0.99176,1,0.995,0.80461,0.80755,0.68358,0.72018,0.001208,0.001208,0.001208
42,663.994,0.6002,0.41614,0.81398,0.99166,1,0.995,0.84198,0.76064,0.69757,0.69973,0.0011882,0.0011882,0.0011882
43,679.902,0.66299,0.43447,0.82041,0.99116,1,0.995,0.84885,0.77835,0.69591,0.70028,0.0011684,0.0011684,0.0011684
44,695.853,0.64716,0.44088,0.81573,0.99312,1,0.995,0.81075,0.84547,0.67778,0.71905,0.0011486,0.0011486,0.0011486
45,712.346,0.61251,0.42251,0.80729,0.99305,1,0.995,0.80469,0.8873,0.66144,0.73349,0.0011288,0.0011288,0.0011288
46,728.048,0.63684,0.4228,0.81784,0.99291,1,0.995,0.80098,0.84258,0.64116,0.7263,0.001109,0.001109,0.001109
47,743.476,0.6128,0.42986,0.81786,0.99326,1,0.995,0.81392,0.80103,0.62679,0.71166,0.0010892,0.0010892,0.0010892
48,758.989,0.60778,0.41622,0.81093,0.99313,1,0.995,0.78959,0.88094,0.63875,0.73629,0.0010694,0.0010694,0.0010694
49,775.205,0.6198,0.40819,0.81143,0.99271,1,0.995,0.79286,0.90779,0.5996,0.73645,0.0010496,0.0010496,0.0010496
50,790.785,0.56939,0.39903,0.80528,0.99271,1,0.995,0.79756,0.82275,0.56523,0.72259,0.0010298,0.0010298,0.0010298
51,806.412,0.60351,0.4079,0.81225,0.99281,1,0.995,0.82238,0.78425,0.55515,0.71516,0.00101,0.00101,0.00101
52,821.774,0.59314,0.40292,0.81677,0.99323,1,0.995,0.80975,0.77915,0.55537,0.71002,0.0009902,0.0009902,0.0009902
53,838.519,0.58558,0.40003,0.8074,0.99258,1,0.995,0.81133,0.81494,0.57842,0.71615,0.0009704,0.0009704,0.0009704
54,854.904,0.59143,0.40111,0.80078,0.99213,1,0.995,0.76139,0.84879,0.58132,0.72572,0.0009506,0.0009506,0.0009506
55,870.143,0.5758,0.38442,0.80363,0.98279,1,0.995,0.76608,0.85375,0.58207,0.72496,0.0009308,0.0009308,0.0009308
56,885.261,0.5881,0.39266,0.80587,0.99271,1,0.995,0.78359,0.8134,0.55912,0.71571,0.000911,0.000911,0.000911
57,900.38,0.58349,0.38763,0.80883,0.99281,1,0.995,0.79444,0.82315,0.56589,0.71516,0.0008912,0.0008912,0.0008912
58,915.565,0.59029,0.40138,0.81142,0.99317,1,0.995,0.79216,0.86211,0.5721,0.72915,0.0008714,0.0008714,0.0008714
59,930.659,0.59009,0.39706,0.80468,0.99319,1,0.995,0.81966,0.81483,0.57277,0.71774,0.0008516,0.0008516,0.0008516
60,945.714,0.57292,0.38285,0.80448,0.99218,1,0.995,0.81533,0.81545,0.55083,0.71345,0.0008318,0.0008318,0.0008318
61,960.875,0.6181,0.39341,0.80298,0.9921,1,0.995,0.82016,0.80345,0.55697,0.71208,0.000812,0.000812,0.000812
62,976.465,0.58343,0.39985,0.81086,0.99292,1,0.995,0.79503,0.79509,0.544,0.72007,0.0007922,0.0007922,0.0007922
63,991.689,0.53706,0.38466,0.80654,0.99287,1,0.995,0.8046,0.83708,0.56127,0.7254,0.0007724,0.0007724,0.0007724
64,1007.56,0.57438,0.3942,0.80624,0.99258,1,0.995,0.79055,0.87234,0.57175,0.72272,0.0007526,0.0007526,0.0007526
65,1022.84,0.55278,0.37367,0.8083,0.99246,1,0.995,0.81768,0.82725,0.55534,0.71754,0.0007328,0.0007328,0.0007328
66,1038.04,0.5771,0.39802,0.81235,0.99267,1,0.995,0.81511,0.82813,0.56498,0.72271,0.000713,0.000713,0.000713
67,1053.03,0.54063,0.37762,0.8118,0.99301,1,0.995,0.78736,0.89043,0.57277,0.72993,0.0006932,0.0006932,0.0006932
68,1068.71,0.54181,0.40904,0.80713,0.99314,1,0.995,0.77813,0.95271,0.58664,0.73435,0.0006734,0.0006734,0.0006734
69,1083.99,0.56182,0.38435,0.80939,0.99321,1,0.995,0.7729,0.88689,0.55998,0.71659,0.0006536,0.0006536,0.0006536
70,1099.33,0.53823,0.36817,0.8061,0.99349,1,0.995,0.81587,0.75243,0.50867,0.70311,0.0006338,0.0006338,0.0006338
71,1114.59,0.54301,0.36555,0.80688,0.99344,1,0.995,0.81042,0.72163,0.48991,0.69937,0.000614,0.000614,0.000614
72,1129.66,0.56759,0.36963,0.80244,0.99316,1,0.995,0.80475,0.80092,0.5115,0.71009,0.0005942,0.0005942,0.0005942
73,1144.84,0.51394,0.35735,0.79974,0.99295,1,0.995,0.78015,0.89848,0.53513,0.7216,0.0005744,0.0005744,0.0005744
74,1159.71,0.52487,0.36263,0.80794,0.99344,1,0.995,0.78461,0.88383,0.54746,0.71223,0.0005546,0.0005546,0.0005546
75,1174.82,0.52015,0.36296,0.80325,0.99368,1,0.995,0.83,0.82421,0.52823,0.70569,0.0005348,0.0005348,0.0005348
76,1190,0.55922,0.36886,0.80201,0.9936,1,0.995,0.80639,0.82218,0.52548,0.70943,0.000515,0.000515,0.000515
77,1205.35,0.54885,0.37455,0.80256,0.99315,1,0.995,0.8082,0.85826,0.53004,0.71836,0.0004952,0.0004952,0.0004952
78,1220.42,0.54428,0.36551,0.79645,0.99335,1,0.995,0.77481,0.88889,0.53153,0.72322,0.0004754,0.0004754,0.0004754
79,1235.27,0.51352,0.36583,0.8085,0.99359,1,0.995,0.8169,0.87212,0.52436,0.72026,0.0004556,0.0004556,0.0004556
80,1250.3,0.51393,0.36684,0.79951,0.99348,1,0.995,0.7769,0.86413,0.51815,0.71943,0.0004358,0.0004358,0.0004358
81,1265.53,0.50481,0.35194,0.8014,0.99335,1,0.995,0.82678,0.83182,0.50106,0.71839,0.000416,0.000416,0.000416
82,1280.43,0.49597,0.3539,0.80528,0.99329,1,0.995,0.79282,0.85759,0.50879,0.71982,0.0003962,0.0003962,0.0003962
83,1295.63,0.50471,0.34521,0.80246,0.99309,1,0.995,0.77031,0.88818,0.52243,0.72282,0.0003764,0.0003764,0.0003764
84,1310.82,0.51556,0.35624,0.79705,0.99339,1,0.995,0.80182,0.86245,0.51517,0.71694,0.0003566,0.0003566,0.0003566
85,1326.04,0.4968,0.34085,0.79808,0.99359,1,0.995,0.82198,0.80874,0.48361,0.71061,0.0003368,0.0003368,0.0003368
86,1341.93,0.51079,0.36523,0.79422,0.99353,1,0.995,0.80604,0.7556,0.47929,0.70043,0.000317,0.000317,0.000317
87,1356.74,0.48613,0.33928,0.80297,0.99334,1,0.995,0.82112,0.76394,0.47251,0.70519,0.0002972,0.0002972,0.0002972
88,1372.03,0.50679,0.34673,0.80329,0.99329,1,0.995,0.80604,0.77651,0.47554,0.70938,0.0002774,0.0002774,0.0002774
89,1387.29,0.48024,0.33397,0.79641,0.99321,1,0.995,0.80604,0.7755,0.48257,0.70781,0.0002576,0.0002576,0.0002576
90,1403,0.506,0.35628,0.79782,0.99331,1,0.995,0.80604,0.7656,0.49357,0.70314,0.0002378,0.0002378,0.0002378
91,1417.03,0.53409,0.48029,0.79244,0.99354,1,0.995,0.80604,0.78551,0.49451,0.7035,0.000218,0.000218,0.000218
92,1430.88,0.48124,0.40813,0.80387,0.99357,1,0.995,0.81075,0.80179,0.50252,0.70445,0.0001982,0.0001982,0.0001982
93,1445.55,0.48346,0.38486,0.79124,0.99331,1,0.995,0.82329,0.81073,0.51432,0.70452,0.0001784,0.0001784,0.0001784
94,1459.5,0.48505,0.36409,0.79156,0.9927,1,0.995,0.82429,0.79827,0.53322,0.70143,0.0001586,0.0001586,0.0001586
95,1473.31,0.47858,0.36827,0.79314,0.99203,1,0.995,0.82331,0.76995,0.55376,0.69648,0.0001388,0.0001388,0.0001388
96,1487.11,0.47053,0.35602,0.79674,0.9916,1,0.995,0.82331,0.75918,0.57039,0.6947,0.000119,0.000119,0.000119
97,1500.81,0.46877,0.35437,0.7933,0.99138,1,0.995,0.83372,0.77756,0.58594,0.69825,9.92e-05,9.92e-05,9.92e-05
98,1515.33,0.46667,0.36248,0.79509,0.9912,1,0.995,0.82174,0.81224,0.5903,0.70512,7.94e-05,7.94e-05,7.94e-05
99,1529,0.4911,0.38083,0.79554,0.9913,1,0.995,0.81957,0.82669,0.58463,0.70871,5.96e-05,5.96e-05,5.96e-05
100,1542.86,0.47139,0.3648,0.79531,0.99125,1,0.995,0.81757,0.82455,0.57432,0.7092,3.98e-05,3.98e-05,3.98e-05
