fold,precision,recall,mAP50,mAP50-95
fold1,0.98873,0.88715,0.89897,0.74208
fold2,0.98938,0.91094,0.92433,0.78105
fold3,0.99386,0.93107,0.9417,0.80498
,0.9906566666666666,0.90972,0.9216666666666667,0.7760366666666667
,0.002280589592383686,0.01795100554286582,0.017545811149356643,0.02592235371686421
