epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,31.2262,1.54112,3.44294,1.09021,0.08019,0.93319,0.18644,0.10789,1.19478,3.33876,0.87952,0.00012,0.00012,0.00012
2,63.0816,1.16376,2.18314,0.88148,0.08407,0.97845,0.59874,0.35956,1.12259,2.87812,0.8737,0.000257426,0.000257426,0.000257426
3,94.1437,1.08016,1.01535,0.87587,0.98421,0.94057,0.97653,0.67613,0.99801,2.23296,0.85482,0.00039208,0.00039208,0.00039208
4,125.121,1.00452,0.77429,0.8716,0.99374,0.68405,0.96168,0.66833,1.01869,1.92534,0.85975,0.000523962,0.000523962,0.000523962
5,156.48,1.00204,0.72578,0.867,0.98951,0.81349,0.95604,0.72405,0.95942,1.51198,0.85762,0.000653072,0.000653072,0.000653072
6,187.147,0.92305,0.65332,0.85756,0.99727,0.78791,0.93459,0.71657,0.93336,1.51654,0.85692,0.00077941,0.00077941,0.00077941
7,218.003,0.94106,0.63082,0.86067,0.99754,0.87416,0.94855,0.72712,0.9002,1.22565,0.85047,0.000902976,0.000902976,0.000902976
8,249.31,0.91799,0.61155,0.86174,0.99163,0.94828,0.97259,0.72342,0.93902,0.95572,0.85567,0.00102377,0.00102377,0.00102377
9,279.848,0.86469,0.57759,0.85208,0.98979,0.96767,0.97403,0.6991,1.02875,0.72342,0.87368,0.00114179,0.00114179,0.00114179
10,310.656,0.91955,0.58775,0.86058,0.98806,0.96767,0.97658,0.76039,0.86124,0.65708,0.83622,0.00125704,0.00125704,0.00125704
11,341.945,0.89665,0.57682,0.84969,0.98466,0.96832,0.97966,0.75444,0.87713,0.68844,0.83589,0.00136952,0.00136952,0.00136952
12,373.108,0.87872,0.56558,0.85141,0.98458,0.96333,0.97665,0.76184,0.82338,0.81405,0.82725,0.00147923,0.00147923,0.00147923
13,404.181,0.81641,0.55838,0.85039,0.98681,0.96751,0.9762,0.76929,0.8071,0.74532,0.82535,0.00158616,0.00158616,0.00158616
14,434.962,0.82167,0.53318,0.84578,0.98685,0.97071,0.9756,0.73295,0.87314,0.67826,0.84046,0.00169032,0.00169032,0.00169032
