epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,34.0067,1.54058,3.39027,1.05899,0.07539,0.96998,0.19809,0.12294,1.24374,3.28905,0.87645,0.00014,0.00014,0.00014
2,68.3702,1.18057,1.87244,0.88688,0.07706,0.99142,0.9725,0.57239,1.16247,2.6683,0.86938,0.00029703,0.00029703,0.00029703
3,103.38,1.07735,0.90182,0.87836,0.99397,0.70705,0.9822,0.73076,0.88217,2.09662,0.82495,0.000450892,0.000450892,0.000450892
4,138.314,1.03557,0.75223,0.87673,0.98139,0.90476,0.97803,0.77165,0.83824,1.48498,0.81809,0.000601586,0.000601586,0.000601586
5,184.204,1.02708,0.70801,0.87832,0.98623,0.97298,0.98195,0.75716,0.8804,1.1621,0.83097,0.000749112,0.000749112,0.000749112
6,30599.4,1.02635,0.66655,0.86352,0.9862,0.9706,0.98221,0.80299,0.75773,0.8946,0.80795,0.00089347,0.00089347,0.00089347
