epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.1019,1.71081,3.53051,1.10871,0.07824,0.77665,0.11833,0.0741,1.09481,3.41922,0.90239,8e-05,8e-05,8e-05
2,42.3219,1.13596,2.89652,0.91135,0.09204,0.9136,0.23372,0.14477,1.30309,3.17153,0.91643,0.000176436,0.000176436,0.000176436
3,67.0523,1.14189,1.7664,0.88591,0.09389,0.93199,0.86297,0.52771,1.23162,2.80645,0.90185,0.000268912,0.000268912,0.000268912
4,90.2594,1.05102,1.00173,0.87446,0.19172,0.90074,0.89817,0.59769,1.14846,2.39695,0.89593,0.000357428,0.000357428,0.000357428
5,113.394,1.00634,0.80577,0.86681,0.99699,0.60876,0.89145,0.62438,1.14876,2.00959,0.89909,0.000441984,0.000441984,0.000441984
6,137.079,1.01664,0.76322,0.87748,0.99707,0.62551,0.88321,0.62044,1.16258,1.80286,0.915,0.00052258,0.00052258,0.00052258
7,160.419,0.94682,0.68916,0.85966,0.99382,0.73937,0.87939,0.64789,1.06544,1.6041,0.89652,0.000599216,0.000599216,0.000599216
8,183.623,0.91792,0.70134,0.87216,0.9916,0.75916,0.87358,0.64245,1.1427,1.5671,0.90869,0.000671892,0.000671892,0.000671892
9,206.593,0.92304,0.65421,0.85043,0.99263,0.74303,0.86231,0.64158,1.13097,1.5287,0.91426,0.000740608,0.000740608,0.000740608
10,229.407,0.95465,0.66525,0.85864,0.98449,0.817,0.88536,0.6597,1.1087,1.23702,0.90901,0.000805364,0.000805364,0.000805364
11,252.782,0.86832,0.63822,0.86397,0.96707,0.86378,0.90069,0.68046,1.02204,0.94318,0.88753,0.00086616,0.00086616,0.00086616
12,276.096,0.85448,0.60385,0.86201,0.96496,0.8796,0.90057,0.65886,1.07434,0.75777,0.89946,0.000922996,0.000922996,0.000922996
13,299.587,0.87721,0.57763,0.8452,0.97462,0.8796,0.90601,0.6549,1.10083,0.72191,0.89498,0.000975872,0.000975872,0.000975872
14,322.904,0.87672,0.58475,0.85075,0.98464,0.88364,0.91042,0.67915,1.01612,0.66917,0.88505,0.00102479,0.00102479,0.00102479
15,345.525,0.86284,0.5767,0.84836,0.98062,0.88356,0.90656,0.69898,1.00514,0.6948,0.88014,0.00106974,0.00106974,0.00106974
16,368.943,0.82148,0.55739,0.85222,0.99342,0.875,0.9074,0.69585,0.99066,0.71276,0.87718,0.00111074,0.00111074,0.00111074
17,392.618,0.82001,0.53881,0.8335,0.98361,0.88249,0.90531,0.6981,0.97734,0.71605,0.8788,0.00114778,0.00114778,0.00114778
18,415.743,0.78732,0.53845,0.84494,0.98451,0.87638,0.9072,0.69762,0.95684,0.71101,0.87072,0.00118085,0.00118085,0.00118085
19,438.295,0.7915,0.53769,0.84185,0.97966,0.87132,0.90503,0.68965,0.99998,0.70216,0.88478,0.00120997,0.00120997,0.00120997
20,461.633,0.79651,0.5378,0.8448,0.99032,0.88143,0.91845,0.68672,1.02779,0.65569,0.89195,0.00123512,0.00123512,0.00123512
21,485.696,0.8148,0.52206,0.85421,0.98868,0.8832,0.91361,0.7156,0.97902,0.6297,0.87751,0.001208,0.001208,0.001208
22,508.705,0.78501,0.51116,0.83367,0.98367,0.88577,0.91618,0.6891,1.03726,0.62361,0.88982,0.0011684,0.0011684,0.0011684
23,531.838,0.7981,0.51976,0.84515,0.98467,0.88566,0.91457,0.68918,0.9959,0.6136,0.88302,0.0011288,0.0011288,0.0011288
24,555.023,0.79835,0.50732,0.83871,0.98769,0.88489,0.90519,0.72702,0.91616,0.61156,0.86299,0.0010892,0.0010892,0.0010892
25,577.984,0.78596,0.50239,0.84113,0.98583,0.88419,0.90494,0.70576,0.97683,0.60866,0.87664,0.0010496,0.0010496,0.0010496
26,602.163,0.76985,0.49181,0.8381,0.98607,0.88603,0.91002,0.71115,0.97941,0.60957,0.87639,0.00101,0.00101,0.00101
27,625.129,0.782,0.52127,0.83913,0.98704,0.88419,0.91172,0.73098,0.91806,0.58592,0.86317,0.0009704,0.0009704,0.0009704
28,648.32,0.757,0.47703,0.83252,0.98969,0.88245,0.91814,0.72394,0.91783,0.55795,0.86284,0.0009308,0.0009308,0.0009308
29,671.703,0.73329,0.48323,0.83547,0.99146,0.88235,0.92023,0.72344,0.92511,0.5547,0.86597,0.0008912,0.0008912,0.0008912
30,694.767,0.71871,0.46984,0.83062,0.99071,0.88238,0.91743,0.73354,0.88654,0.53721,0.85963,0.0008516,0.0008516,0.0008516
31,718.936,0.74652,0.46927,0.8287,0.9919,0.88143,0.90936,0.72531,0.93039,0.53513,0.8644,0.000812,0.000812,0.000812
32,742.326,0.77556,0.48215,0.82427,0.99482,0.88267,0.91053,0.72389,0.94328,0.51619,0.87172,0.0007724,0.0007724,0.0007724
33,765.761,0.71891,0.47334,0.83202,0.99387,0.88419,0.91026,0.72459,0.92483,0.49553,0.86721,0.0007328,0.0007328,0.0007328
34,789.304,0.72568,0.46794,0.82727,0.99277,0.88359,0.90688,0.73397,0.9144,0.48977,0.86161,0.0006932,0.0006932,0.0006932
35,812.576,0.69553,0.46747,0.82673,0.99225,0.88327,0.9106,0.73533,0.89938,0.48192,0.85904,0.0006536,0.0006536,0.0006536
36,835.698,0.73395,0.46676,0.82604,0.99094,0.88327,0.90626,0.72262,0.91841,0.47982,0.86584,0.000614,0.000614,0.000614
37,858.664,0.66419,0.44617,0.82883,0.98972,0.88453,0.90567,0.73346,0.89807,0.48462,0.8609,0.0005744,0.0005744,0.0005744
38,882.082,0.67694,0.44332,0.82601,0.99037,0.88327,0.90578,0.7389,0.8847,0.48595,0.85886,0.0005348,0.0005348,0.0005348
39,905.182,0.67118,0.44597,0.82748,0.99181,0.88327,0.90912,0.73983,0.88385,0.48536,0.85977,0.0004952,0.0004952,0.0004952
40,928.394,0.68791,0.43833,0.8224,0.98922,0.88695,0.91136,0.73725,0.90779,0.46531,0.8665,0.0004556,0.0004556,0.0004556
41,950.12,0.69287,0.55521,0.82911,0.99045,0.88787,0.91028,0.7385,0.90787,0.45835,0.8655,0.000416,0.000416,0.000416
42,971.329,0.68669,0.525,0.83057,0.99305,0.88695,0.9059,0.73679,0.89858,0.45901,0.86294,0.0003764,0.0003764,0.0003764
43,992.237,0.68872,0.5419,0.82951,0.99452,0.88695,0.90827,0.73683,0.89363,0.46029,0.86208,0.0003368,0.0003368,0.0003368
44,1013.39,0.63242,0.45698,0.82698,0.99075,0.8861,0.902,0.73521,0.91402,0.48188,0.86856,0.0002972,0.0002972,0.0002972
45,1034.5,0.63855,0.45558,0.82742,0.98873,0.887,0.90077,0.73139,0.92502,0.49875,0.8699,0.0002576,0.0002576,0.0002576
46,1055.59,0.63841,0.45054,0.82722,0.98874,0.8874,0.90097,0.73211,0.90944,0.50608,0.86574,0.000218,0.000218,0.000218
47,1076.92,0.64798,0.45374,0.82455,0.98687,0.88787,0.9024,0.73735,0.89339,0.50587,0.86142,0.0001784,0.0001784,0.0001784
48,1098.47,0.64341,0.44789,0.82043,0.98971,0.88388,0.90162,0.74258,0.87818,0.48757,0.85842,0.0001388,0.0001388,0.0001388
49,1119.55,0.653,0.45301,0.82175,0.98974,0.88628,0.89969,0.74226,0.88032,0.47882,0.85926,9.92e-05,9.92e-05,9.92e-05
50,1140.94,0.63511,0.4513,0.82479,0.98873,0.88715,0.89897,0.74208,0.88198,0.47374,0.85953,5.96e-05,5.96e-05,5.96e-05
